event,location,latitude,longitude,event_type
Benedict Arnold flees to British-held New York.,New York,40.7,-74.0,none
The Danish ship-of-the-line Printz Friderich runs aground on the Kobbergrund shoal and is a total loss,Kobbergrund shoal,55.7,12.5,none
"American Revolutionary War : In Tappan, New York, British spy John André is hanged by American forces.","Tappan, New York",41.0,-73.8,war
"American Revolutionary War : Battle of Kings Mountain : Patriot militia forces annihilate Loyalists under British Major Patrick Ferguson , at Kings Mountain, South Carolina.","Kings Mountain, South Carolina",35.3,-81.5,war
"16 – The Great Hurricane flattens the islands of Barbados , Martinique and Sint Eustatius ; 22,000 are killed.","Barbados, Martinique, Sint Eustatius",PARSE_ERROR,PARSE_ERROR,cataclysm or fire
"Rebellion of Túpac Amaru II : In the Spanish Viceroyalty of Peru , Túpac Amaru II leads an uprising of Aymara and Quechua peoples and mestizo peasants as a protest against the Bourbon Reforms .",Spanish Viceroyalty of Peru,-16.5,-71.5,revolution or coup
"A lightning strike in Saint Petersburg begins a fire that burns 11,000 homes.",Saint Petersburg,59.9,30.3,cataclysm or fire
"Maria Theresa of Austria dies in Vienna after 40 years of rule, and her Habsburg dominions pass to her ambitious son, Joseph II , who has already been Holy Roman Emperor since 1765 .",Vienna,48.2,16.4,dynasty change
American Revolutionary War : The British San Juan Expedition is forced to withdraw.,"San Juan, United States",47.3,-120.7,war
Alexander Hamilton marries Elizabeth Schuyler Hamilton,United States,40.0,-75.0,none
Emperor Kōkaku accedes to the throne of Japan.,Japan,35.7,139.7,dynasty change
The Fourth Anglo-Dutch War begins.,Netherlands,52.3,4.9,war
Industrial Revolution : The Iron Bridge opens across the River Severn in England.,England,52.2,-2.5,none
"Virginia passes a law ceding its western land claims , paving the way for Maryland to ratify the Articles of Confederation .",Virginia,37.5,-78.0,purchase or sale of territory
"American Revolutionary War : Richmond, Virginia is burned by British naval forces, led by Benedict Arnold .","Richmond, Virginia",37.5,-77.4,war
Battle of Jersey : British troops prevent the French from occupying Jersey in the Channel Islands .,Jersey,49.19,-2.02,war
"American Revolutionary War – Battle of Cowpens : The American Continental Army , under Daniel Morgan , decisively defeats British forces in South Carolina .","South Carolina, United States",34.0,-81.0,war
"The Articles of Confederation are ratified by Maryland , the 13th and final state to do so.","Maryland, United States",39.0,-76.5,none
"Fourth Anglo-Dutch War – Capture of Sint Eustatius : British forces take the Dutch Caribbean island of Sint Eustatius , with only a few shots fired. On November 26 it is retaken by Dutch-allied French forces.",Sint Eustatius,17.9,-63.0,war
"The United States Continental Congress implements the Articles of Confederation, forming its Perpetual Union as the United States in Congress Assembled.",United States,37.0,-95.7,none
"Sir William Herschel discovers the planet Uranus . Originally he calls it Georgium Sidus (George's Star), in honour of King George III of Great Britain .",,,,none
American Revolutionary War – Battle of Guilford Court House : American General Nathanael Greene loses to the British.,"Guilford Court House, North Carolina, United States",35.5,-79.8,war
Wolfgang Amadeus Mozart arrives in Vienna after being fired by the Archbishop of Salzburg . He would stay there for the rest of his brief life.,Vienna,48.2,16.4,none
"American Revolutionary War: The Spanish capture the sloop-of-war HMS St Fermin off Málaga , Spain.","Málaga, Spain",36.7,-4.0,war
"The rebellion by Túpac Amaru II , against the Spanish colonial government of Peru, is ended as Tupac, his wife and two of his sons are captured at Checacupe .",Peru,-10.0,-76.0,revolution or coup
"Future U.S. President Andrew Jackson , age 14, is slashed by a British officer's sword at his home near Waxhaw, North Carolina , after refusing to clean the officer's boots, an event that leaves physical and psychological scars.","Waxhaw, North Carolina",34.9,-80.9,none
The Continental Congress votes a resolution thanking U.S. Captain John Paul Jones for his services.,United States,38.9,-77.0,none
"Future New York mayor James Duane , North Carolina representative William Sharpe and future Connecticut governor Oliver Wolcott deliver the first report to the U.S. Continental Congress about the national debt and report it to be 24,057,157 and 2/5 dollars.",United States,PARSE_ERROR,PARSE_ERROR,financial reform
"American Revolutionary War: The Battle of Hobkirk's Hill takes place in Camden, South Carolina","Camden, South Carolina",34.5,-81.5,war
"General John Campbell , defender of the British colony of West Florida , surrenders the capital at Pensacola to Spanish forces commanded by Bernardo de Galvez .","Pensacola, West Florida",30.45,-86.3,war
"A Spanish army sent from Lima puts down the Inca rebellions, and captures and savagely executes Túpac Amaru II .",Peru,-10.0,-77.0,war
"The commission agrees to the rebels' terms: reduction of the alcabala and of the Indians' forced tribute, abolition of the new taxes on tobacco, and preference for Criollos over peninsulares in government positions.",,,,revolution or coup
"Ohmiya (近江屋), as predecessor for Takeda , a major worldwide pharmaceutical brand , is founded in Doshomachi (道修町), Osaka , Japan .","Doshomachi, Osaka, Japan",34.65,135.77,none
"French spy François Henri de la Motte is hanged and drawn before a large crowd at Tyburn , London in England for high treason .","Tyburn, England",51.5,-0.2,none
"American Revolution – Skirmish at the House in the Horseshoe: A Tory force under David Fanning attacks Phillip Alston's smaller force of Whigs , at Alston's home in Cumberland County, North Carolina (in present day Moore County, North Carolina ). Alston's troops surrender, after Fanning's men attempt to ram the house with a cart of burning straw.","Moore County, North Carolina, United States",35.0,-79.0,revolution or coup
"American Revolution : A French fleet under Comte de Grasse enters Chesapeake Bay , cutting British General Charles Cornwallis off from escape by sea.","Chesapeake Bay, United States",37.0,-76.0,revolution or coup
"Los Angeles is founded as El Pueblo de Nuestra Señora la Reina de Los Ángeles de Porciuncula (""City of Our Lady the Queen of the Angels of Porciuncula""), by a group of 44 Spanish settlers in California.","Los Angeles, California",34.05,-118.25,none
"American Revolution – Battle of the Chesapeake : A British fleet under Thomas Graves arrives and fights de Grasse, but is unable to break through to relieve the Siege of Yorktown .","Chesapeake Bay, United States",37.0,-75.0,war
"American Revolution – Battle of Groton Heights : A British force under Benedict Arnold attacks a fort in Groton, Connecticut , achieving a strategic victory.","Groton, Connecticut, United States",41.4,-72.3,revolution or coup
"American Revolution – Battle of Eutaw Springs , South Carolina: The war's last significant battle, in the Southern theatre, ends in a narrow British tactical victory.","Eutaw Springs, South Carolina",33.35,-80.85,revolution or coup
"American Revolution : Graves gives up trying to break through the now-reinforced French fleet and returns to New York, leaving Cornwallis to his fate.","New York, United States",40.7,-74.0,revolution or coup
"American Revolution : American and French troops begin a siege of the British at Yorktown, Virginia.","Yorktown, Virginia, United States",37.18,-76.48,revolution or coup
"The first bagpipes competition is held in the Masonic Arms, Falkirk , Scotland.","Falkirk, Scotland",56.0,-4.0,none
"American Revolution : Following the Siege of Yorktown , General Charles Cornwallis surrenders to General George Washington at Yorktown, Virginia , ending the armed struggle of the American Revolution.","Yorktown, Virginia, United States",37.1,-76.4,revolution or coup
"A Patent of Toleration , providing limited freedom of worship , is approved in the Habsburg monarchy .",Habsburg Monarchy (Austria),48.2,16.4,religious reform
John Hanson is elected President of the Continental Congress .,,,,none
"American Revolutionary War – Second Battle of Ushant : The British Royal Navy , commanded by Rear Admiral Richard Kempenfelt in HMS Victory , decisively defeats the French fleet in the Bay of Biscay .",Bay of Biscay,48.3,-5.7,war
The first American commercial bank ( Bank of North America ) opens.,"Philadelphia, United States",39.95,-75.16,financial reform
Superintendent of Finance Robert Morris goes before the United States Congress to recommend establishment of a national mint and decimal coinage.,United States,38.9,-77.0,financial reform
"The Laird of Johnstone (George Ludovic Houston) invites people to buy marked plots of land which, when built upon, form the planned town of Johnstone , Scotland, to provide employment for his thread and cotton mills .","Johnstone, Scotland",55.6839,-4.2981,purchase or sale of territory
The Spanish defeat British forces and capture Menorca .,Menorca,39.75,-0.55,war
Singu Min is overthrown as king of Myanmar by his cousin Phaungka Min and 8 days later will be executed by his uncle Bodawpayar .,Myanmar,21.9,95.9,revolution or coup
"Fourth Anglo-Dutch War : Shirley's Gold Coast expedition lands at Elmina on the Dutch Gold Coast . The British expedition fails to take the fort here but over the next several weeks seizes, with minimal resistance, four small Dutch forts.","Elmina, Dutch Gold Coast",5.6,-2.2,war
"The British House of Commons votes against further war in America , paving the way for the Second Rockingham ministry and the Peace of Paris .",,,,war
"Gnadenhutten massacre : In Ohio , 29 Native American men, 27 women, and 34 children are killed by colonial militiamen in retaliation for raids carried out by another Native American group.",Ohio,40.0,-83.0,war
Battle of Wuchale : Emperor Tekle Giyorgis pacifies a group of Oromo near Wuchale .,Wuchale,9.0,38.0,war
"Charles Watson-Wentworth, 2nd Marquess of Rockingham becomes Prime Minister of Great Britain .",Great Britain,55.0,-4.0,dynasty change
"Rama I overthrows King Taksin of Siam (now Thailand ) in a coup d'état , and moves the political capital from Thonburi , across the Chao Phraya River to Rattanakosin Island , the historic center of Bangkok .",Thailand,13.7,100.5,revolution or coup
"Battle of the Saintes : A British fleet under Admiral Sir George Rodney defeats a French fleet under the Comte de Grasse , in the West Indies .",West Indies,17.5,-62.0,war
"John Adams secures recognition of the United States as an independent government by the Dutch Republic . During this visit, he also negotiates a loan of five million guilders , financed by Nicolaas van Staphorst and Wilhelm Willink .",Netherlands (Dutch Republic),52.5,5.5,purchase or sale of territory
"A Lak Mueang (city pillar) is erected on Rattanakosin Island , located on the eastern bank of the Chao Phraya River , by order of King Rama I , an act considered the founding of the capital city of Bangkok .",Rattanakosin Island,13.7572,100.4982,dynasty change
"The Parliament of Great Britain passes the Repeal of Act for Securing Dependence of Ireland Act , a major component of the reforms collectively known as the Constitution of 1782 , which restore legislative independence to the Parliament of Ireland .",Ireland,53.5,-6.2,revolution or coup
"In Switzerland, Anna Göldi is sentenced to death for witchcraft (the last legal witchcraft sentence).",Switzerland,47.0,8.0,none
"The bald eagle is chosen as the emblem of the United States of America. On the same day, the Confederation Congress adopts the design for the Great Seal of the United States .",United States of America,37.0,-95.7,none
"Raid on Lunenburg : American privateers attack the British settlement at Lunenburg, Nova Scotia .","Lunenburg, Nova Scotia",44.6,-63.3,war
"August 29 – The Masonic Congress of Wilhelmsbad, Germany , one of history's most important ever secret society congresses, takes place. High-degree Freemasons from the whole of Europe spend the time deliberating the fate of the rite of Strict Observance, and hierarchy of the governing bodies of world Freemasonry , at the Hanau -Wilhelmsbad spa.","Wilhelmsbad, Germany",50.23,8.65,religious reform
Wolfgang Amadeus Mozart 's opera Die Entführung aus dem Serail premieres at the Burgtheater in Vienna .,Vienna,48.2,16.4,none
A combined British and Native American force defeat Kentucky militiamen in the Battle of Blue Licks in the last major battle of the American Revolutionary War .,"Blue Licks, Kentucky, United States",38.9,-84.5,war
"Welsh actress Sarah Siddons , the pre-eminent star of the English stage, makes a triumphant return to the theatre in the title role of David Garrick 's new play, Isabella, or The Fatal Marriage .",England,55.0,-3.0,none
Elias Boudinot of New Jersey is elected the new President of the Congress of the Confederation.,New Jersey,40.0,-74.5,none
"American Revolutionary War : In Paris, representatives from the United States and the Kingdom of Great Britain sign preliminary peace articles (later formalized in the Treaty of Paris ).",Paris,48.8566,2.3522,war
"American Revolutionary War : Action of 12 December 1782 : A naval engagement off Ferrol, Spain , in which the British ship HMS Mediator commanded by James Luttrell successfully attacks a convoy of French and American ships attempting to supply the United States.","Ferrol, Spain",43.38,-8.65,war
The Montgolfier brothers first test fly a hot air balloon in France; it floats nearly 2 km (1.2 mi).,France,48.2,2.3,none
East India Company : Hada and Mada Miah lead a rebellion in the Indian subcontinent against East India Company officer Robert Lindsay and his troops in Sylhet Shahi Eidgah .,"Sylhet, Indian subcontinent",24.87,91.78,revolution or coup
"At Versailles , Great Britain signs preliminary peace treaties with the Kingdom of France and the Kingdom of Spain.",Versailles,48.8,2.1,purchase or sale of territory
"The Confederation Congress ratifies two October 8, 1782, treaties signed by the United States with the United Netherlands.",United Netherlands (Netherlands),52.0,5.5,purchase or sale of territory
"American Revolutionary War : Great Britain acknowledges the independence of the United States of America. At this time, the Spanish government does not grant diplomatic recognition.",United States of America,37.0,-95.7,revolution or coup
American Revolutionary War : Great Britain formally declares that it will cease hostilities with the United States.,United States,37.0,-95.0,war
"1783 Calabrian earthquakes : The first of a sequence of five earthquakes strikes Calabria , Italy (February 5–7, March 1 & 28), leaving 50,000 dead.","Calabria, Italy",39.5,15.5,cataclysm or fire
The Great Siege of Gibraltar is abandoned.,Gibraltar,36.8,-4.4,war
The United States Continental Army 's Corps of Engineers is disbanded.,United States,38.9,-77.0,none
"The last celebration of Massacre Day is held in Boston , Massachusetts.","Boston, Massachusetts",42.36,-71.1,none
"Newburgh Conspiracy : A potential uprising in the Continental Army stationed at Newburgh, New York , is defused, when George Washington asks the officers to support the supremacy of the United States Congress .","Newburgh, New York",41.94,-77.37,revolution or coup
"A Peace and Commercial Treaty is signed between the newly-formed United States and Sweden in Paris, among the first acts of state concluded between the U.S. and a foreign power.",Paris,48.8584,2.2945,purchase or sale of territory
"The Crimean Khanate , which has existed since 1441 and is a late remnant of the Mongol Golden Horde , is annexed by the Russian Empire of Catherine the Great .",Crimea,44.97,33.97,purchase or sale of territory
"28 – Second Anglo-Mysore War : Siege of Bednore – Tipu Sultan of Mysore with 100,000 troops besieges 1600 British East India Company troops who are obliged to surrender with honours of war .",Bednore,PARSE_ERROR,PARSE_ERROR,war
Preliminary articles of peace ending the American Revolutionary War are ratified by the Congress of the Confederation in the United States.,United States,37.0,-95.0,revolution or coup
"Three-Fifths Compromise : The first instance of black slaves in the United States of America being counted as three fifths of persons (for the purpose of taxation), is included in a resolution of the Congress of the Confederation (this is later adopted in the 1787 Constitution).",United States of America,37.0,-95.0,financial reform
"The Society of the Cincinnati , a fraternal organization for American veterans of the American Revolution, is formed in Newburgh, New York .","Newburgh, New York",41.9,-77.5,none
"The first United Empire Loyalists , fleeing the new United States, reach Parrtown in Saint John, New Brunswick , Canada.","Saint John, New Brunswick, Canada",45.33,-66.11,none
"A Great Jubilee Day , celebrating the end of the American Revolution , is held in Trumbull, Connecticut .","Trumbull, Connecticut",41.2,-73.3,revolution or coup
"The volcano Laki in Iceland begins an 8-month eruption, starting the chain of natural disasters known as the Móðuharðindin , killing tens of thousands throughout Europe, including up to 33% of Iceland's population, and causing widespread famine. It has been described as one of ""the greatest environmental catastrophes in European history "".",Iceland,64.0,-18.5,cataclysm or fire
Grants of land in Canada to American Loyalists are announced.,Canada,56.0,-101.0,none
"The Treaty of Georgievsk is signed between Imperial Russia and the Kingdom of Kartli-Kakheti , making Georgia a protectorate of Russia.",Georgia,42.0,44.0,purchase or sale of territory
"Mount Asama , the most active volcano in Japan , begins a climactic eruption, killing roughly 1,400 people directly and exacerbating a famine, resulting in another 20,000 deaths ( Tenmei eruption ).","Mount Asama, Japan",36.6,138.5,cataclysm or fire
"The British East India Company packet ship Antelope (1781) is wrecked off Ulong Island in the Palau (Pelew) group, resulting in the first sustained European contact with those islands.","Ulong Island, Palau",7.55,134.55,none
"The 1783 Great Meteor passes on a 1,000-mile track across the North Sea , Great Britain and France, prompting scientific discussion.","North Sea, Great Britain, France",PARSE_ERROR,PARSE_ERROR,none
"Jacques Charles and Les Frères Robert launch the world's first hydrogen-filled balloon, Le Globe , in Paris.","Paris, France",48.8566,2.3522,none
"Peace of Paris : A treaty between the United States and Great Britain is signed in Paris, formally ending the American Revolutionary War , in which Britain recognizes the independence of the United States; and treaties are signed between Britain, France, and Spain at Versailles , ending hostilities with the Franco-Spanish Alliance.","Paris, France",48.8584,2.2945,revolution or coup
"Dickinson College is chartered in Carlisle, Pennsylvania .","Carlisle, Pennsylvania",40.3,-77.2,none
"The first Waterford Crystal glassmaking business begins production in Waterford , Ireland.","Waterford, Ireland",52.9,-6.5,none
"Mozart 's Great Mass is first performed, in Salzburg , Austria .","Salzburg, Austria",47.8,13.0,none
"In Rocky Hill, New Jersey , United States General George Washington gives his Farewell Address to the Army .","Rocky Hill, New Jersey, United States",40.5,-74.5,none
"The American Continental Army is disbanded as the first act of business by the Confederation Congress , after Thomas Mifflin is elected the new President to succeed Elias Boudinot.",United States,37.0,-95.7,none
"In Paris, Jean-François Pilâtre de Rozier and François Laurent, marquis d'Arlandes , make the first untethered hot air balloon flight (flight time: 25 minutes, Maximum height: 900 m).","Paris, France",48.85,2.35,none
"In Spain, the Cedula of Population is signed, stating that anyone who will swear fealty to Spain and is of the Roman Catholic faith is welcome to populate Trinidad and Tobago .",Spain,39.5,-4.0,purchase or sale of territory
"American Revolutionary War : The last British troops leave New York City and George Washington triumphantly returns, three months after the signing of the Treaty of Paris .","New York City, United States",40.7,-74.0,war
"English rector John Michell concludes that some stars might have enough gravity force to prevent light escaping from them, so he calls them "" dark stars "".",England,54.0,-2.0,none
1783 New Jersey earthquake : An earthquake of 5.3 magnitude strikes New Jersey .,New Jersey,40.0,-74.0,cataclysm or fire
Jacques Charles and Nicolas-Louis Robert make the first manned flight in a hydrogen-filled gas balloon in Paris.,"Paris, France",48.8566,2.3522,none
"At Fraunces Tavern in New York City, U.S. General George Washington formally bids his officers farewell.","New York City, United States",40.7,-74.0,none
William Pitt the Younger becomes Prime Minister of Great Britain .,Great Britain,55.4,-3.3,dynasty change
"General George Washington resigns his commission as commander-in-chief of the Continental Army to the Congress of the Confederation in the Maryland State House in Annapolis, Maryland, and retires to his home at Mount Vernon . Washington's resignation, described by historian Thomas Fleming as ""the most important moment in American history,"" affirms the United States ' commitment to the principle of civilian control of the military , and prompts King George III to call Washington ""the greatest character of the age.""","Annapolis, Maryland, United States",38.98,-76.48,none
"Louis-Sébastien Lenormand makes the first ever recorded public demonstration of a parachute descent, by jumping from the tower of the Montpellier Observatory in France, using his rigid-framed model, which he intends as a form of fire escape.","Montpellier, France",43.6,3.8,cataclysm or fire
Treaty of Constantinople: The Ottoman Empire agrees to Russia 's annexation of the Crimea .,Crimea,44.9,33.9,purchase or sale of territory
"The Congress of the United States ratifies the Treaty of Paris with Great Britain to end the American Revolution , with the signature of President of Congress Thomas Mifflin .",United States,38.9,-77.0,revolution or coup
"Henry Cavendish 's paper to the Royal Society of London , Experiments on Air , reveals the composition of water .","London, United Kingdom",51.5,-0.1,none
The Captivity of Mangalorean Catholics at Seringapatam begins.,Seringapatam,12.3,76.4,none
John Wesley ordains ministers for the Methodist Church in the United States .,United States,37.0,-95.0,religious reform
The Confederation Congress accepts Virginia's cession of all rights to the Northwest Territory and to Kentucky ( Illinois County ).,Virginia,39.0,-78.0,purchase or sale of territory
"The Emerald Buddha is installed at the Wat Phra Kaew , on the grounds of the Grand Palace in Bangkok (or in 1785).",Bangkok,13.751,100.502,none
The Congress of the Confederation passes the Ordinance of Governance to set guidelines for adding to the original 13 states in the United States of America .,United States of America,37.0,-95.0,none
"The Marriage of Figaro , written by playwright Pierre Beaumarchais as a sequel to The Barber of Seville , premieres at the Comédie-Française in Paris .","Paris, France",48.8584,2.3474,none
"The Treaty of Paris , signed on September 3 the previous year , comes into effect.","Paris, France",48.9,2.3,purchase or sale of territory
"A treaty is signed in Paris between the Kingdom of Great Britain and the Dutch Republic , formally ending the Fourth Anglo-Dutch War .",Paris,48.8584,2.2945,war
"Élisabeth Thible is the first woman to ascend in a hot-air balloon , at Lyon , France .","Lyon, France",45.7,4.8,none
The Bank of New York opens as the first in New York state and continues to operate under that name for almost 223 years until being acquired by Mellon Financial and becoming BNY Mellon .,"New York, United States",40.7,-74.0,financial reform
"The United States and the Kingdom of France sign a convention for establishing diplomatic relations and ""determining the functions and prerogatives of their respective consuls, vice consuls, agents, and commissaries"".",United States,38.9,-77.0,none
Parliament of Great Britain passes Pitt's India Act ( An Act for the better Regulation and Management of the Affairs of the East India Company and of the British Possessions in India ). It requires the governor-general to be chosen from outside the Company and makes company directors subject to parliamentary supervision.,Great Britain,55.4,-3.8,financial reform
Britain creates the colony of New Brunswick .,New Brunswick,46.0,-66.0,purchase or sale of territory
"In France , the Robert brothers (Anne-Jean Robert and Nicolas-Louis Robert) and a Mr. Collin-Hullin (whose first name is lost to history) become the first people to fly more than 100 km or 100 miles in the air, lifting off from Paris and landing 6 hours and 40 minutes later near Bethune after a journey of 186 kilometres (116 mi).","Paris, France",48.8566,2.3522,none
"Russia establishes a colony at Kodiak, Alaska .","Kodiak, Alaska",59.3,-151.3,purchase or sale of territory
""" Kettle War "", a 1-day action on the Scheldt in which a ship of the Dutch Republic repels forces of the Holy Roman Empire .",Scheldt,51.3,3.8,war
"North Carolina rescinds its resolution ceding its western territory ( Washington District , modern-day Tennessee) to the United States, after earlier giving Congress two years to accept the terms.",North Carolina,35.7,-80.2,purchase or sale of territory
"December 14 – The Revolt of Horea, Cloșca and Crișan in Transylvania causes Joseph II, Holy Roman Emperor to suspend the Hungarian Constitution.",Transylvania,46.5,25.5,revolution or coup
The Roman Catholic Apostolic Prefecture of the United States is established.,United States,38.9,-77.0,none
"The phenomenon of black holes is first posited in a paper by John Michell , in the Philosophical Transactions of the Royal Society of London .","London, United Kingdom",51.5,-0.1,none
Richard Henry Lee of Virginia is selected as the new President of the Confederation Congress.,Virginia,37.5,-78.5,none
"The Methodist Episcopal Church in the United States is officially formed at the ""Christmas Conference"", led by Thomas Coke and Francis Asbury .",United States,38.9,-77.0,religious reform
"Frenchman Jean-Pierre Blanchard and American John Jeffries travel from Dover , England to Calais , France in a hydrogen gas balloon , becoming the first to cross the English Channel by air.","Dover, England and Calais, France",PARSE_ERROR,PARSE_ERROR,none
Richard Henry Lee is elected as President of the U.S. Congress of the Confederation.,United States,38.9,-77.0,none
"Battle of Rạch Gầm-Xoài Mút : Invading Siamese forces, attempting to exploit the political chaos in Vietnam , are ambushed and annihilated at the Mekong River, by the Tây Sơn .","Mekong River, Vietnam",10.9,106.8,war
"The University of Georgia in the United States is chartered by the Georgia General Assembly meeting in Savannah . The first students are admitted in Athens, Georgia in 1801.","Athens, Georgia, United States",33.9,-83.4,none
"Sir Warren Hastings , who has been governing India on behalf of King George III as the Governor-General of the Presidency of Fort William (later British India ), resigns. Sir John Macpherson administers British India until General Charles Cornwallis arrives 19 months later.",India,20.0,78.0,dynasty change
"The Confederation Congress votes an $80,000 expense to establish diplomatic relations with Morocco .",Morocco,31.0,-5.0,purchase or sale of territory
"Scottish geologist James Hutton first presents his landmark work, Theory of the Earth ; or an Investigation of the Laws observable in the Composition, Dissolution, and Restoration of Land upon the Globe to the Royal Society of Edinburgh .",Scotland,55.9,-4.0,none
The Commonwealth of Massachusetts cedes all of its claims to territory west of New York State to the United States Confederation Congress. The area will become the southern portions of Michigan and Wisconsin.,Massachusetts,42.0,-72.0,purchase or sale of territory
"The Empress Catherine the Great of the Russian Empire issues the Charter to the Towns, providing for ""a coherent, unified system of administration"" for new governments organized in Russia.",Russian Empire,,,reform
"John Adams is appointed as the U.S. ambassador to the United Kingdom, and Thomas Jefferson as ambassador to France.","United Kingdom, France",PARSE_ERROR,PARSE_ERROR,none
"Astronomer William Herschel begins his second series of surveys of the stars, published in 1789.",,,,none
"A hot air balloon crashes in Tullamore , Ireland, causing a fire that burns down about 100 houses, making it the world's first aviation disaster (by 36 days).","Tullamore, Ireland",53.2,-7.4,cataclysm or fire
"The Northwest Ordinance of 1785 , setting the rules for dividing the U.S. Northwest Territory (later Ohio, Indiana, Illinois, Wisconsin and Michigan) into townships of 36 square miles apiece, is passed by the Confederation Congress. Walter G. Robillard and Lane J. Bouman, Clark on Surveying and Boundaries (LexisNexis, 1997) The survey system will later be applied to the continent west of the Mississippi River.",U.S. Northwest Territory,PARSE_ERROR,PARSE_ERROR,purchase or sale of territory
Benjamin Franklin receives a patent for bifocals .,,,,none
The Continental Navy is disbanded.,,,,none
"After several attempts, Jean-François Pilâtre de Rozier and his companion, Pierre Romain, set off in a balloon from Boulogne-sur-Mer , but the balloon suddenly deflates (without the envelope catching fire) and crashes near Wimereux in the Pas-de-Calais, killing both men, making it the first fatal aviation disaster.","Boulogne-sur-Mer, France",50.8,1.9,cataclysm or fire
Don Diego de Gardoqui arrives in New York City as Spain's first minister to the United States.,"New York City, United States",40.7,-74.0,none
The dollar (and a decimal currency system) is unanimously chosen as the money unit for the United States by the Congress of the Confederation.,United States,38.9,-77.0,financial reform
"The Piper-Heidsieck Champagne house is founded by Florens-Louis Heidsieck in Reims , France.","Reims, France",49.19,4.07,purchase or sale of territory
"The fleet of French explorer Jean-François de Galaup, comte de Lapérouse leaves Paris for the circumnavigation of the globe.","Paris, France",48.8566,2.3522,none
Cardinal de Rohan is arrested in Paris; the Necklace Affair comes into the open.,"Paris, France",48.8566,2.3522,none
The United States and the Kingdom of Prussia sign a Treaty of Amity and Commerce.,"United States, Kingdom of Prussia (Germany)",PARSE_ERROR,PARSE_ERROR,purchase or sale of territory
Vincenzo Lunardi of Italy becomes the first person to pilot a balloon over Scotland .,Scotland,55.9,-4.0,none
"The Commonwealth of Virginia stops the importation of new African slaves by declaring that ""No persons shall henceforth be slaves within this commonwealth, except such as were so on the seventeenth day of October, 1785, and the descendants of the females of them.""","Virginia, United States",37.5,-78.5,religious reform
"Benjamin Franklin takes office as the new President of the Supreme Council of Pennsylvania , at the time the equivalent of a republic as one of the 13 independent governments of the United States of America under the Articles of Confederation .","Pennsylvania, United States",40.0,-75.0,none
"John Hancock of Massachusetts, the former President of the Continental Congress, is selected as the new President of the Congress of the Confederation, but is unable to take office because of illness.","Massachusetts, United States",42.0,-71.0,none
The Treaty of Hopewell is signed between the United States of America and the Cherokee Nation .,,,,none
"An edict is issued limiting Masonic lodges throughout the Holy Roman Empire by Emperor Joseph II . With the exception of Vienna , Budapest and Prague , no Empire province may have more than one lodge.",Holy Roman Empire,48.8,10.5,religious reform
The third Treaty of Hopewell is signed between the United States and the Choctaw .,Hopewell,,,none
"The outward bound East Indiaman Halsewell is wrecked on the south coast of England in a storm, with only 74 of more than 240 on board surviving.",South coast of England,50.5,-2.0,cataclysm or fire
"In a speech before The Asiatic Society in Calcutta , Sir William Jones notes the formal resemblances between Latin , Greek , and Sanskrit , laying the foundation for comparative linguistics and Indo-European studies .","Calcutta, India",22.5727,88.3639,none
The Ohio Company of Associates is organized by five businessmen at a meeting at the Bunch-of-Grapes Tavern in Boston to purchase land from the United States government to form settlements in the modern-day U.S. state of Ohio .,Boston,42.36,-71.06,purchase or sale of territory
"Construction begins in Dublin on the Four Courts Building, with the first stone laid down by the United Kingdom's Viceroy for Ireland, the Duke of Rutland .","Dublin, Ireland",53.3,-6.2,none
The Creek Nation declares war on the U.S. State of Georgia over the matter of white settlers on land not ceded by the Nation. A truce is negotiated on April 17 between Creek Chief Alexander McGillivray (Hoboi-Hili-Miko) and U.S. Army General Lachlan McIntosh but is soon repudiated.,"Georgia, United States",32.1,-83.7,war
"Columbia College (modern-day Columbia University ) holds its first graduation, with eight students, including DeWitt Clinton .","New York City, United States",40.7,-74.0,none
"The United States and the Kingdom of Portugal sign their first commercial treaty, but it is never ratified.","United States, Portugal",PARSE_ERROR,PARSE_ERROR,purchase or sale of territory
"British astronomer William Herschel publishes his first list of his discoveries, Catalogue of One Thousand New Nebulae and Clusters of Stars ; two additional books are published in 1789 and 1802.","England, United Kingdom",54.0,-2.0,none
Mozart 's opera The Marriage of Figaro premieres in Vienna .,Vienna,48.2,16.4,none
The trial in the Affair of the Diamond Necklace ends in Paris.,"Paris, France",48.8566,2.3522,none
"The Tignon law is enacted by Spanish Governor of Louisiana Esteban Rodríguez Miró , to force black women to wear a tignon headscarf.","Louisiana, United States",30.9,-91.0,none
"Nathaniel Gorham is chosen as the new President of the U.S. Confederation Congress to substitute for John Hancock, who cannot take office because of illness.",United States,38.9,-77.0,none
"An earthquake -caused landslide dam on the Dadu River gives way, killing 100,000 in the Sichuan province of China.","Sichuan province, China",30.8,103.9,cataclysm or fire
Gavriil Pribylov discovers St. George Island of the Pribilof Islands in the Bering Sea .,"St. George Island, Pribilof Islands",58.3,-169.1,none
"Convention of London between the Kingdom of Great Britain and the Kingdom of Spain : British settlements on the Mosquito Coast of Central America are to be evacuated; Spain expands the territory available to the British in Belize on the Yucatán Peninsula , for cutting mahogany .",Belize,17.2,-88.7,purchase or sale of territory
"The ' Kilmarnock volume ' of Robert Burns ' Poems, Chiefly in the Scottish Dialect is published in Scotland .",Scotland,55.9,-4.0,none
